SUBSCRIPTION_ID;PACKAGE_ID;TIME_STAMP;ACCOUNT_ID;STATUS;START_DATE;END_DATE
11105555660;p-svmobi-gamebar-c-01;30/05/2020 12:49:10;23920868;INACTIVE;30/05/2020 09:59:01;30/05/2020 12:49:10
11051784842;p-svmobi-gamebar-c-01;26/05/2020 16:57:45;43762684;INACTIVE;26/05/2020 16:57:02;26/05/2020 16:57:45
11049953017;p-svmobi-gamebar-c-01;26/05/2020 14:27:26;23815612;INACTIVE;26/05/2020 14:26:56;26/05/2020 14:27:26
11159443280;p-svmobi-gamebar-c-01;03/06/2020 07:34:05;23471322;INACTIVE;02/06/2020 21:58:06;03/06/2020 07:34:05
11159441500;p-svmobi-gamebar-c-01;03/06/2020 06:56:30;7976861;INACTIVE;02/06/2020 21:23:00;03/06/2020 06:56:30
10332341455;p-svmobi-gamebar-c-01;13/05/2020 19:06:52;6211313;INACTIVE;07/04/2020 14:24:10;13/05/2020 19:06:52
11159355836;p-svmobi-gamebar-c-01;02/06/2020 23:32:43;3057909;INACTIVE;02/06/2020 21:00:42;02/06/2020 23:32:43
10366666264;p-svmobi-gamebar-c-01;04/06/2020 10:06:22;4658793;INACTIVE;09/04/2020 18:02:24;04/06/2020 10:06:21
10366765170;p-svmobi-gamebar-c-01;29/05/2020 20:42:02;45691877;INACTIVE;09/04/2020 18:33:12;29/05/2020 20:42:02
10363723186;p-svmobi-gamebar-c-01;07/05/2020 20:53:45;110373;INACTIVE;09/04/2020 14:21:25;07/05/2020 20:53:45
10513349058;p-svmobi-gamebar-c-01;08/05/2020 15:00:06;20430117;INACTIVE;19/04/2020 16:00:54;08/05/2020 15:00:06
11096362185;p-svmobi-gamebar-c-01;01/06/2020 12:58:39;42182895;INACTIVE;29/05/2020 17:56:49;01/06/2020 12:58:39
11156777906;p-svmobi-gamebar-c-01;02/06/2020 21:14:24;42420035;INACTIVE;02/06/2020 17:52:04;02/06/2020 21:14:24
11094458383;p-svmobi-gamebar-c-01;02/06/2020 11:47:35;21738383;INACTIVE;29/05/2020 15:02:06;02/06/2020 11:47:35
11094297797;p-svmobi-gamebar-c-01;29/05/2020 15:06:15;18508491;INACTIVE;29/05/2020 14:52:27;29/05/2020 15:06:15
11084141786;p-svmobi-worldforher-c-01;02/06/2020 08:49:04;3238342;INACTIVE;29/05/2020 00:14:53;02/06/2020 08:49:04
11083811301;p-svmobi-worldforher-c-01;01/06/2020 11:46:56;34008465;INACTIVE;28/05/2020 20:39:06;01/06/2020 11:46:56
11082688284;p-svmobi-worldforher-c-01;28/05/2020 19:22:48;25375393;INACTIVE;28/05/2020 19:21:20;28/05/2020 19:22:48
10392026491;p-svmobi-worldforher-c-01;06/05/2020 14:46:13;49464330;INACTIVE;11/04/2020 15:23:29;06/05/2020 14:46:13
11080177225;p-svmobi-worldforher-c-01;28/05/2020 16:57:48;29544547;INACTIVE;28/05/2020 15:58:36;28/05/2020 16:57:48
11080198678;p-svmobi-worldforher-c-01;29/05/2020 11:45:56;27939565;INACTIVE;28/05/2020 16:01:48;29/05/2020 11:45:56
11080360165;p-svmobi-worldforher-c-01;28/05/2020 16:12:07;48831824;INACTIVE;28/05/2020 16:10:59;28/05/2020 16:12:07
11079998649;p-svmobi-worldforher-c-01;28/05/2020 18:37:32;5257331;INACTIVE;28/05/2020 15:45:43;28/05/2020 18:37:32
11037206373;p-svmobi-worldforher-c-01;25/05/2020 17:29:18;2750607;INACTIVE;25/05/2020 17:25:29;25/05/2020 17:29:18
11037015273;p-svmobi-worldforher-c-01;25/05/2020 19:17:24;5115170;INACTIVE;25/05/2020 17:07:09;25/05/2020 19:17:24
